[INFO] 20:29:35:517 LOG valores de registros/(19156:19156): PID: 1, PC: 6, AX: 1, BX: 1, CX: 0, DX: 0, EAX: 1, EBX: 0, ECX: 0, EDX: 0, SI: 0, DI: 0
[INFO] 20:29:35:620 LOG valores de registros/(19156:19156): PID: 1, PC: 7, AX: 1, BX: 1, CX: 0, DX: 0, EAX: 1, EBX: 0, ECX: 0, EDX: 0, SI: 0, DI: 0
[INFO] 20:29:35:931 LOG valores de registros/(19156:19156): PID: 1, PC: 8, AX: 1, BX: 1, CX: 1, DX: 0, EAX: 1, EBX: 0, ECX: 0, EDX: 0, SI: 0, DI: 0
[INFO] 20:29:36:034 LOG valores de registros/(19156:19156): PID: 1, PC: 9, AX: 1, BX: 1, CX: 1, DX: 0, EAX: 2, EBX: 0, ECX: 0, EDX: 0, SI: 0, DI: 0
[INFO] 20:29:36:138 LOG valores de registros/(19156:19156): PID: 1, PC: 10, AX: 1, BX: 1, CX: 1, DX: 0, EAX: 2, EBX: 0, ECX: 0, EDX: 0, SI: 0, DI: 0
[INFO] 20:29:36:472 LOG valores de registros/(19156:19156): PID: 1, PC: 11, AX: 1, BX: 1, CX: 1, DX: 1, EAX: 2, EBX: 0, ECX: 0, EDX: 0, SI: 0, DI: 0
[INFO] 20:29:36:574 LOG valores de registros/(19156:19156): PID: 1, PC: 12, AX: 1, BX: 1, CX: 1, DX: 1, EAX: 3, EBX: 0, ECX: 0, EDX: 0, SI: 0, DI: 0
[INFO] 20:29:36:677 LOG valores de registros/(19156:19156): PID: 1, PC: 13, AX: 1, BX: 1, CX: 1, DX: 1, EAX: 3, EBX: 0, ECX: 0, EDX: 0, SI: 0, DI: 0
[INFO] 20:29:36:992 LOG valores de registros/(19156:19156): PID: 1, PC: 14, AX: 1, BX: 1, CX: 1, DX: 1, EAX: 3, EBX: 0, ECX: 0, EDX: 0, SI: 0, DI: 0
[INFO] 20:29:37:199 LOG valores de registros/(19156:19156): PID: 1, PC: 15, AX: 1, BX: 1, CX: 1, DX: 1, EAX: 3, EBX: 0, ECX: 0, EDX: 0, SI: 0, DI: 0
[INFO] 20:29:37:304 LOG valores de registros/(19156:19156): PID: 1, PC: 0, AX: 1, BX: 1, CX: 1, DX: 1, EAX: 3, EBX: 0, ECX: 0, EDX: 0, SI: 0, DI: 0
[INFO] 20:29:37:414 LOG valores de registros/(19156:19156): PID: 1, PC: 1, AX: 1, BX: 1, CX: 1, DX: 1, EAX: 3, EBX: 0, ECX: 0, EDX: 0, SI: 0, DI: 0
[INFO] 20:29:37:517 LOG valores de registros/(19156:19156): PID: 1, PC: 2, AX: 1, BX: 1, CX: 1, DX: 1, EAX: 0, EBX: 0, ECX: 0, EDX: 0, SI: 0, DI: 0
[INFO] 20:29:37:721 LOG valores de registros/(19156:19156): PID: 1, PC: 3, AX: 1, BX: 1, CX: 1, DX: 1, EAX: 0, EBX: 0, ECX: 0, EDX: 0, SI: 0, DI: 0
[INFO] 20:29:37:826 LOG valores de registros/(19156:19156): PID: 1, PC: 4, AX: 1, BX: 1, CX: 1, DX: 1, EAX: 0, EBX: 0, ECX: 0, EDX: 0, SI: 0, DI: 0
[INFO] 20:29:38:154 LOG valores de registros/(19156:19156): PID: 1, PC: 5, AX: 1, BX: 1, CX: 1, DX: 1, EAX: 0, EBX: 0, ECX: 0, EDX: 0, SI: 0, DI: 0
[INFO] 20:29:38:264 LOG valores de registros/(19156:19156): PID: 1, PC: 6, AX: 1, BX: 1, CX: 1, DX: 1, EAX: 1, EBX: 0, ECX: 0, EDX: 0, SI: 0, DI: 0
[INFO] 20:29:38:369 LOG valores de registros/(19156:19156): PID: 1, PC: 7, AX: 1, BX: 1, CX: 1, DX: 1, EAX: 1, EBX: 0, ECX: 0, EDX: 0, SI: 0, DI: 0
[INFO] 20:29:38:675 LOG valores de registros/(19156:19156): PID: 1, PC: 8, AX: 1, BX: 1, CX: 1, DX: 1, EAX: 1, EBX: 0, ECX: 0, EDX: 0, SI: 0, DI: 0
[INFO] 20:29:38:785 LOG valores de registros/(19156:19156): PID: 1, PC: 9, AX: 1, BX: 1, CX: 1, DX: 1, EAX: 2, EBX: 0, ECX: 0, EDX: 0, SI: 0, DI: 0
[INFO] 20:29:38:892 LOG valores de registros/(19156:19156): PID: 1, PC: 10, AX: 1, BX: 1, CX: 1, DX: 1, EAX: 2, EBX: 0, ECX: 0, EDX: 0, SI: 0, DI: 0
[INFO] 20:29:39:200 LOG valores de registros/(19156:19156): PID: 1, PC: 11, AX: 1, BX: 1, CX: 1, DX: 1, EAX: 2, EBX: 0, ECX: 0, EDX: 0, SI: 0, DI: 0
[INFO] 20:29:39:303 LOG valores de registros/(19156:19156): PID: 1, PC: 12, AX: 1, BX: 1, CX: 1, DX: 1, EAX: 3, EBX: 0, ECX: 0, EDX: 0, SI: 0, DI: 0
[INFO] 20:29:39:407 LOG valores de registros/(19156:19156): PID: 1, PC: 13, AX: 1, BX: 1, CX: 1, DX: 1, EAX: 3, EBX: 0, ECX: 0, EDX: 0, SI: 0, DI: 0
[INFO] 20:29:39:757 LOG valores de registros/(19156:19156): PID: 1, PC: 14, AX: 1, BX: 1, CX: 1, DX: 1, EAX: 3, EBX: 0, ECX: 0, EDX: 0, SI: 0, DI: 0
[INFO] 20:29:39:982 LOG valores de registros/(19156:19156): PID: 1, PC: 15, AX: 1, BX: 1, CX: 1, DX: 1, EAX: 3, EBX: 0, ECX: 0, EDX: 0, SI: 0, DI: 0
[INFO] 20:29:40:118 LOG valores de registros/(19156:19156): PID: 1, PC: 0, AX: 1, BX: 1, CX: 1, DX: 1, EAX: 3, EBX: 0, ECX: 0, EDX: 0, SI: 0, DI: 0
[INFO] 20:29:40:221 LOG valores de registros/(19156:19156): PID: 1, PC: 1, AX: 1, BX: 1, CX: 1, DX: 1, EAX: 3, EBX: 0, ECX: 0, EDX: 0, SI: 0, DI: 0
[INFO] 20:29:40:324 LOG valores de registros/(19156:19156): PID: 1, PC: 2, AX: 1, BX: 1, CX: 1, DX: 1, EAX: 0, EBX: 0, ECX: 0, EDX: 0, SI: 0, DI: 0
[INFO] 20:29:40:528 LOG valores de registros/(19156:19156): PID: 1, PC: 3, AX: 1, BX: 1, CX: 1, DX: 1, EAX: 0, EBX: 0, ECX: 0, EDX: 0, SI: 0, DI: 0
[INFO] 20:29:40:634 LOG valores de registros/(19156:19156): PID: 1, PC: 4, AX: 1, BX: 1, CX: 1, DX: 1, EAX: 0, EBX: 0, ECX: 0, EDX: 0, SI: 0, DI: 0
[INFO] 20:29:40:973 LOG valores de registros/(19156:19156): PID: 1, PC: 5, AX: 1, BX: 1, CX: 1, DX: 1, EAX: 0, EBX: 0, ECX: 0, EDX: 0, SI: 0, DI: 0
[INFO] 20:29:41:076 LOG valores de registros/(19156:19156): PID: 1, PC: 6, AX: 1, BX: 1, CX: 1, DX: 1, EAX: 1, EBX: 0, ECX: 0, EDX: 0, SI: 0, DI: 0
[INFO] 20:29:41:208 LOG valores de registros/(19156:19156): PID: 1, PC: 7, AX: 1, BX: 1, CX: 1, DX: 1, EAX: 1, EBX: 0, ECX: 0, EDX: 0, SI: 0, DI: 0
[INFO] 20:29:41:549 LOG valores de registros/(19156:19156): PID: 1, PC: 8, AX: 1, BX: 1, CX: 1, DX: 1, EAX: 1, EBX: 0, ECX: 0, EDX: 0, SI: 0, DI: 0
[INFO] 20:29:41:651 LOG valores de registros/(19156:19156): PID: 1, PC: 9, AX: 1, BX: 1, CX: 1, DX: 1, EAX: 2, EBX: 0, ECX: 0, EDX: 0, SI: 0, DI: 0
[INFO] 20:29:41:756 LOG valores de registros/(19156:19156): PID: 1, PC: 10, AX: 1, BX: 1, CX: 1, DX: 1, EAX: 2, EBX: 0, ECX: 0, EDX: 0, SI: 0, DI: 0
[INFO] 20:29:42:060 LOG valores de registros/(19156:19156): PID: 1, PC: 11, AX: 1, BX: 1, CX: 1, DX: 1, EAX: 2, EBX: 0, ECX: 0, EDX: 0, SI: 0, DI: 0
[INFO] 20:29:42:162 LOG valores de registros/(19156:19156): PID: 1, PC: 12, AX: 1, BX: 1, CX: 1, DX: 1, EAX: 3, EBX: 0, ECX: 0, EDX: 0, SI: 0, DI: 0
[INFO] 20:29:42:280 LOG valores de registros/(19156:19156): PID: 1, PC: 13, AX: 1, BX: 1, CX: 1, DX: 1, EAX: 3, EBX: 0, ECX: 0, EDX: 0, SI: 0, DI: 0
[INFO] 20:29:42:595 LOG valores de registros/(19156:19156): PID: 1, PC: 14, AX: 1, BX: 1, CX: 1, DX: 1, EAX: 3, EBX: 0, ECX: 0, EDX: 0, SI: 0, DI: 0
[INFO] 20:29:42:798 LOG valores de registros/(19156:19156): PID: 1, PC: 15, AX: 1, BX: 1, CX: 1, DX: 1, EAX: 3, EBX: 0, ECX: 0, EDX: 0, SI: 0, DI: 0
[INFO] 20:29:42:903 LOG valores de registros/(19156:19156): PID: 1, PC: 0, AX: 1, BX: 1, CX: 1, DX: 1, EAX: 3, EBX: 0, ECX: 0, EDX: 0, SI: 0, DI: 0
[INFO] 20:29:43:005 LOG valores de registros/(19156:19156): PID: 1, PC: 1, AX: 1, BX: 1, CX: 1, DX: 1, EAX: 3, EBX: 0, ECX: 0, EDX: 0, SI: 0, DI: 0
[INFO] 20:29:43:112 LOG valores de registros/(19156:19156): PID: 1, PC: 2, AX: 1, BX: 1, CX: 1, DX: 1, EAX: 0, EBX: 0, ECX: 0, EDX: 0, SI: 0, DI: 0
[INFO] 20:29:43:317 LOG valores de registros/(19156:19156): PID: 1, PC: 3, AX: 1, BX: 1, CX: 1, DX: 1, EAX: 0, EBX: 0, ECX: 0, EDX: 0, SI: 0, DI: 0
[INFO] 20:29:43:423 LOG valores de registros/(19156:19156): PID: 1, PC: 4, AX: 1, BX: 1, CX: 1, DX: 1, EAX: 0, EBX: 0, ECX: 0, EDX: 0, SI: 0, DI: 0
[INFO] 20:29:43:745 LOG valores de registros/(19156:19156): PID: 1, PC: 5, AX: 1, BX: 1, CX: 1, DX: 1, EAX: 0, EBX: 0, ECX: 0, EDX: 0, SI: 0, DI: 0
